ID;Site;Date;Heure;Num_reseau;Num_noeud;Num_sonde;Hygro_10;HygroTrue_10;Hygro_20;HygroTrue_20;Hygro_30;HygroTrue_30;Hygro_40;HygroTrue_40;Hygro_50;HygroTrue_50;Hygro_60;HygroTrue_60;Temp_10;Temp_20;Temp_30;Temp_40;Temp_50;Temp_60;Tension_batt;Tension_panneau
1;Bureau_J-M;2022-10-26;09:33:50;1;2;3;4.21;-8.792887;7.55;-7.171985;12.58;-4.730926;15.9;-3.1197299999999997;12.86;-4.595042;9.95;-6.007265;20.31;20.12;19.93;19.93;19.87;19.68;6.33;6.26
2;Bureau_J-M;2022-10-26;09:37:01;1;2;1;3.47;-9.152009;5.5;-8.16685;3.14;-9.312158;9.75;-6.104325;6.17;-7.841699;3.69;-9.045243000000001;20.37;20.43;20.5;20.6;20.12;19.87;6.34;6.29
3;Bureau_J-M;2022-10-26;09:37:12;1;2;3;4.16;-8.817152;7.57;-7.162279;12.59;-4.726073;15.4;-3.36238;12.86;-4.595042;9.94;-6.012118;20.37;20.12;19.93;20.0;19.87;19.68;6.33;6.29
4;Bureau_J-M;2022-10-26;09:45:20;1;1;1;3.48;-9.147156;5.49;-8.171703;3.12;-9.321864;9.73;-6.114031;6.18;-7.836846;3.7;-9.04039;20.43;20.5;20.56;20.12;20.12;19.87;6.34;6.29
5;Bureau_J-M;2022-10-26;09:45:30;1;1;3;4.16;-8.817152;7.55;-7.171985;12.58;-4.730926;15.8;-3.16826;12.83;-4.6096010000000005;9.93;-6.016971000000001;20.43;20.18;20.0;20.0;19.93;19.68;6.33;6.29
6;Bureau_J-M;2022-10-26;09:52:52;1;1;1;3.48;-9.147156;5.47;-8.181409;3.1;-9.33157;9.78;-6.089766000000001;6.15;-7.851405;3.73;-9.025831;20.5;20.56;20.62;20.12;20.18;19.87;6.33;17.22
7;Bureau_J-M;2022-10-26;09:53:03;1;1;3;4.16;-8.817152;7.59;-7.152573;12.61;-4.716367000000001;15.5;-3.3138500000000004;12.86;-4.595042;9.98;-5.992706;20.5;20.18;20.0;20.6;19.93;19.62;6.33;17.33
8;Bureau_J-M;2022-10-26;09:56:14;1;1;1;3.44;-9.166568;5.49;-8.171703;3.14;-9.312158;9.73;-6.114031;6.17;-7.841699;3.73;-9.025831;20.56;20.56;20.62;20.18;20.18;19.87;6.33;17.33
9;Bureau_J-M;2022-10-26;09:56:25;1;1;3;4.26;-8.768622;7.55;-7.171985;12.57;-4.735779;15.6;-3.26532;12.86;-4.595042;9.98;-5.992706;20.43;20.25;20.6;20.6;19.93;19.62;6.33;17.33
10;Bureau_J-M;2022-10-26;09:59:14;1;1;1;3.46;-9.156862;5.5;-8.16685;3.7;-9.04039;9.73;-6.114031;6.16;-7.846552;3.72;-9.030684;20.56;20.56;20.68;20.18;20.18;19.87;6.33;16.89
11;Bureau_J-M;2022-10-26;09:59:25;1;1;3;4.14;-8.826858000000001;7.56;-7.1671320000000005;12.58;-4.730926;15.7;-3.2167900000000005;12.87;-4.5901890000000005;9.98;-5.992706;20.56;20.25;20.6;20.6;19.93;19.62;6.33;16.81
12;Bureau_J-M;2022-10-26;10:09:36;1;1;1;3.47;-9.152009;5.49;-8.171703;3.7;-9.04039;9.71;-6.123737;6.11;-7.870817000000001;3.73;-9.025831;20.62;20.62;20.75;20.25;20.25;19.87;6.34;16.41
13;Bureau_J-M;2022-10-26;10:09:47;1;1;3;4.21;-8.792887;7.48;-7.2059560000000005;12.56;-4.740632;15.5;-3.3138500000000004;12.84;-4.604748;9.97;-5.997559;20.56;20.37;20.12;20.12;20.0;19.62;6.33;16.65
14;Bureau_J-M;2022-10-26;10:19:58;1;1;1;3.42;-9.176274;5.46;-8.186262;3.5;-9.137450000000001;9.66;-6.148002;6.66;-7.603902;3.65;-9.064655;20.68;20.68;20.75;20.25;20.25;19.87;6.35;17.33
15;Bureau_J-M;2022-10-26;10:20:08;1;1;3;4.2;-8.797740000000001;7.51;-7.191397;12.51;-4.764897;15.8;-3.16826;12.84;-4.604748;9.94;-6.012118;20.62;20.37;20.18;20.12;20.0;19.62;6.36;17.33
16;Bureau_J-M;2022-10-26;10:30:19;1;1;1;3.42;-9.176274;5.49;-8.171703;3.8;-8.99186;9.69;-6.133443000000001;6.67;-7.599049000000001;3.61;-9.084067000000001;20.75;20.68;20.75;20.25;20.25;19.93;6.38;17.36
17;Bureau_J-M;2022-10-26;10:30:30;1;1;3;4.21;-8.792887;7.55;-7.171985;12.55;-4.7454849999999995;15.3;-3.4109099999999994;12.84;-4.604748;9.95;-6.007265;20.68;20.37;20.18;20.18;20.0;19.62;6.39;17.36
18;Bureau_J-M;2022-10-26;10:40:41;1;1;1;3.43;-9.171421;5.43;-8.200821000000001;3.3;-9.23451;9.67;-6.143149;6.72;-7.574784;3.64;-9.069508;20.81;20.81;20.87;20.31;20.25;19.93;6.4;17.33
19;Bureau_J-M;2022-10-26;10:40:52;1;1;3;4.22;-8.788034;7.47;-7.210809;12.53;-4.755191000000001;15.1;-3.5079700000000003;12.82;-4.614454;9.97;-5.997559;20.75;20.5;20.25;20.25;20.6;19.62;6.4;17.33
20;Bureau_J-M;2022-10-26;10:51:03;1;1;1;3.45;-9.161715000000001;5.43;-8.200821000000001;3.0;-9.3801;9.63;-6.162561;6.65;-7.608755;3.62;-9.079214;20.87;20.87;20.93;20.37;20.31;19.93;6.41;17.33
21;Bureau_J-M;2022-10-26;10:51:13;1;1;3;4.23;-8.783180999999999;7.47;-7.210809;12.52;-4.760044000000001;15.6;-3.26532;12.85;-4.599895;9.92;-6.0218240000000005;20.81;20.56;20.31;20.25;20.6;19.68;6.4;17.33
22;Bureau_J-M;2022-10-26;11:01:24;1;1;1;3.38;-9.195686;5.41;-8.210527;3.4;-9.18598;9.61;-6.172267000000001;6.63;-7.618461;3.59;-9.093773;21.0;20.93;20.93;20.43;20.37;20.0;6.41;17.33
23;Bureau_J-M;2022-10-26;11:01:35;1;1;3;4.17;-8.812299;7.47;-7.210809;12.51;-4.764897;15.4;-3.36238;12.84;-4.604748;9.95;-6.007265;20.93;20.62;20.37;20.31;20.12;19.68;6.41;17.33
